2025-10-27T00:19:52.841235268Z [inf]  2025-10-27 00:19:52,835 - src.services.data_service - DEBUG - 緩存命中: TAUSDT 5m
2025-10-27T00:19:52.841241460Z [inf]  2025-10-27 00:19:52,835 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.841247792Z [inf]  2025-10-27 00:19:52,835 - src.services.data_service - DEBUG - 緩存命中: AUCTIONUSDT 5m
2025-10-27T00:19:52.841253798Z [inf]  2025-10-27 00:19:52,835 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.841259751Z [inf]  2025-10-27 00:19:52,835 - src.services.data_service - DEBUG - 緩存命中: STRKUSDT 5m
2025-10-27T00:19:52.841288828Z [inf]  2025-10-27 00:19:52,835 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.841294874Z [inf]  2025-10-27 00:19:52,835 - src.services.data_service - DEBUG - 緩存命中: ALGOUSDT 5m
2025-10-27T00:19:52.841301483Z [inf]  2025-10-27 00:19:52,835 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.842781581Z [inf]  2025-10-27 00:19:52,835 - src.services.data_service - DEBUG - 緩存命中: BERAUSDT 5m
2025-10-27T00:19:52.842788438Z [inf]  2025-10-27 00:19:52,835 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.842794263Z [inf]  2025-10-27 00:19:52,835 - src.services.data_service - DEBUG - 緩存命中: ZEREBROUSDT 5m
2025-10-27T00:19:52.842803472Z [inf]  2025-10-27 00:19:52,835 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.842811622Z [inf]  2025-10-27 00:19:52,835 - src.services.data_service - DEBUG - 緩存命中: ALICEUSDT 5m
2025-10-27T00:19:52.842817916Z [inf]  2025-10-27 00:19:52,835 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.842822290Z [inf]  2025-10-27 00:19:52,835 - src.services.data_service - DEBUG - 緩存命中: SANDUSDT 5m
2025-10-27T00:19:52.842827639Z [inf]  2025-10-27 00:19:52,835 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.842832618Z [inf]  2025-10-27 00:19:52,835 - src.services.data_service - DEBUG - 緩存命中: CUSDT 5m
2025-10-27T00:19:52.842837548Z [inf]  2025-10-27 00:19:52,835 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.842842258Z [inf]  2025-10-27 00:19:52,835 - src.services.data_service - DEBUG - 緩存命中: MYXUSDT 5m
2025-10-27T00:19:52.842847128Z [inf]  2025-10-27 00:19:52,835 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.842851654Z [inf]  2025-10-27 00:19:52,835 - src.services.data_service - DEBUG - 緩存命中: EULUSDT 5m
2025-10-27T00:19:52.842857106Z [inf]  2025-10-27 00:19:52,835 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T00:19:52.842863523Z [inf]  2025-10-27 00:19:52,835 - src.services.data_service - DEBUG - 緩存命中: ORDIUSDT 5m
