2025-10-27T13:52:31.913346654Z [inf]  2025-10-27 13:52:22,756 - src.strategies.ict_strategy - DEBUG - ✅ DIAUSDT LONG | 信心度: 36.7% | 趨勢: bullish/bullish/bearish
2025-10-27T13:52:31.913353694Z [inf]  2025-10-27 13:52:23,035 - src.strategies.ict_strategy - DEBUG - ✅ ZENUSDT LONG | 信心度: 46.7% | 趨勢: bullish/bullish/bullish
2025-10-27T13:52:31.913357214Z [inf]  2025-10-27 13:52:22,870 - src.strategies.ict_strategy - DEBUG - ✅ HUSDT LONG | 信心度: 66.0% | 趨勢: bullish/bullish/bullish
2025-10-27T13:52:31.913360094Z [inf]  2025-10-27 13:52:22,628 - src.strategies.ict_strategy - DEBUG - TURTLEUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913360256Z [inf]  2025-10-27 13:52:22,336 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T13:52:31.913360369Z [inf]  2025-10-27 13:52:22,622 - src.strategies.ict_strategy - DEBUG - MEUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-27T13:52:31.913362436Z [inf]  2025-10-27 13:52:22,773 - src.strategies.ict_strategy - DEBUG - PUMPUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T13:52:31.913370386Z [inf]  2025-10-27 13:52:23,150 - src.strategies.ict_strategy - DEBUG - WLFIUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T13:52:31.913371088Z [inf]  2025-10-27 13:52:23,040 - src.strategies.ict_strategy - DEBUG - AVNTUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bearish, 5m:bearish, structure:bullish)
2025-10-27T13:52:31.913372057Z [inf]  2025-10-27 13:52:22,910 - src.strategies.ict_strategy - DEBUG - FFUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:neutral)
2025-10-27T13:52:31.913374781Z [inf]  2025-10-27 13:52:22,877 - src.strategies.ict_strategy - DEBUG - DASHUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-27T13:52:31.913376652Z [inf]  2025-10-27 13:52:22,336 - src.services.data_service - DEBUG - ✅ 緩存命中: RVVUSDT 5m
2025-10-27T13:52:31.913377635Z [inf]  2025-10-27 13:52:22,671 - src.strategies.ict_strategy - DEBUG - ✅ COAIUSDT SHORT | 信心度: 70.0% | 趨勢: bearish/bearish/bearish
2025-10-27T13:52:31.913379306Z [inf]  2025-10-27 13:52:22,793 - src.strategies.ict_strategy - DEBUG - ADAUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T13:52:31.913381401Z [inf]  2025-10-27 13:52:22,596 - src.strategies.ict_strategy - DEBUG - HYPEUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bullish)
2025-10-27T13:52:31.913392136Z [inf]  2025-10-27 13:52:22,336 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
