2025-10-27T11:23:01.017967671Z [inf]  2025-10-27 11:23:00,876 - src.services.data_service - DEBUG - 💾 緩存 MEUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.020688235Z [inf]  2025-10-27 11:23:00,878 - src.services.data_service - DEBUG - 💾 緩存 DOGEUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.024194424Z [inf]  2025-10-27 11:23:00,880 - src.services.data_service - DEBUG - 💾 緩存 TRXUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.028684392Z [inf]  2025-10-27 11:23:00,882 - src.services.data_service - DEBUG - 💾 緩存 42USDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.032518700Z [inf]  2025-10-27 11:23:00,884 - src.services.data_service - DEBUG - 💾 緩存 FARTCOINUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.032533636Z [inf]  2025-10-27 11:23:00,887 - src.services.data_service - DEBUG - 💾 緩存 DASHUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.037861578Z [inf]  2025-10-27 11:23:00,889 - src.services.data_service - DEBUG - 💾 緩存 WIFUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.040293924Z [inf]  2025-10-27 11:23:00,892 - src.services.data_service - DEBUG - 💾 緩存 VIRTUALUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.044921965Z [inf]  2025-10-27 11:23:00,895 - src.services.data_service - DEBUG - 💾 緩存 MYROUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.047618353Z [inf]  2025-10-27 11:23:00,898 - src.services.data_service - DEBUG - 💾 緩存 RECALLUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.052297418Z [inf]  2025-10-27 11:23:00,901 - src.services.data_service - DEBUG - 💾 緩存 ARBUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.057797904Z [inf]  2025-10-27 11:23:00,904 - src.services.data_service - DEBUG - 💾 緩存 ZBTUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.064662755Z [inf]  2025-10-27 11:23:00,912 - src.services.data_service - DEBUG - 💾 緩存 AIAUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.357620340Z [inf]  2025-10-27 11:23:00,915 - src.services.data_service - DEBUG - 💾 緩存 1000BONKUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.357629382Z [inf]  2025-10-27 11:23:00,917 - src.services.data_service - DEBUG - 💾 緩存 BLESSUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.357636451Z [inf]  2025-10-27 11:23:00,920 - src.services.data_service - DEBUG - 💾 緩存 HBARUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.357642960Z [inf]  2025-10-27 11:23:00,925 - src.services.data_service - DEBUG - 💾 緩存 CAKEUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.357648807Z [inf]  2025-10-27 11:23:00,927 - src.services.data_service - DEBUG - 💾 緩存 ZORAUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.357655770Z [inf]  2025-10-27 11:23:00,929 - src.services.data_service - DEBUG - 💾 緩存 XPINUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.357663151Z [inf]  2025-10-27 11:23:00,932 - src.services.data_service - DEBUG - 💾 緩存 USELESSUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.357671922Z [inf]  2025-10-27 11:23:00,936 - src.services.data_service - DEBUG - 💾 緩存 PIPPINUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.357678542Z [inf]  2025-10-27 11:23:00,939 - src.services.data_service - DEBUG - 💾 緩存 KGENUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.357685642Z [inf]  2025-10-27 11:23:00,942 - src.services.data_service - DEBUG - 💾 緩存 SNXUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.358515986Z [inf]  2025-10-27 11:23:00,944 - src.services.data_service - DEBUG - 💾 緩存 ONUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.358524761Z [inf]  2025-10-27 11:23:00,947 - src.services.data_service - DEBUG - 💾 緩存 EDUUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.358531821Z [inf]  2025-10-27 11:23:00,950 - src.services.data_service - DEBUG - 💾 緩存 ETCUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.358538098Z [inf]  2025-10-27 11:23:00,953 - src.services.data_service - DEBUG - 💾 緩存 TIAUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.361324760Z [inf]  2025-10-27 11:23:00,956 - src.services.data_service - DEBUG - 💾 緩存 IPUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.361332429Z [inf]  2025-10-27 11:23:00,958 - src.services.data_service - DEBUG - 💾 緩存 B2USDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.361342249Z [inf]  2025-10-27 11:23:00,961 - src.services.data_service - DEBUG - 💾 緩存 METUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.361348416Z [inf]  2025-10-27 11:23:00,964 - src.services.data_service - DEBUG - 💾 緩存 LDOUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.361354619Z [inf]  2025-10-27 11:23:00,966 - src.services.data_service - DEBUG - 💾 緩存 EDENUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.361361168Z [inf]  2025-10-27 11:23:00,969 - src.services.data_service - DEBUG - 💾 緩存 RVVUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.361368817Z [inf]  2025-10-27 11:23:00,971 - src.services.data_service - DEBUG - 💾 緩存 FETUSDT 5m 數據，TTL=300秒
2025-10-27T11:23:01.361377816Z [inf]  2025-10-27 11:23:00,974 - src.strategies.ict_strategy - DEBUG - ETHUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-27T11:23:01.361384895Z [inf]  2025-10-27 11:23:00,988 - src.strategies.ict_strategy - DEBUG - BTCUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-27T11:23:01.361395404Z [inf]  2025-10-27 11:23:00,992 - src.strategies.ict_strategy - DEBUG - ETHUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-27T11:23:01.361402440Z [inf]  2025-10-27 11:23:00,995 - src.strategies.ict_strategy - DEBUG - SOLUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T11:23:01.361408886Z [inf]  2025-10-27 11:23:01,007 - src.strategies.ict_strategy - DEBUG - ZECUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-27T11:23:01.361415459Z [inf]  2025-10-27 11:23:01,041 - src.strategies.ict_strategy - DEBUG - BNBUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-27T11:23:01.363986047Z [inf]  2025-10-27 11:23:01,045 - src.strategies.ict_strategy - DEBUG - SOLUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T11:23:01.363994879Z [inf]  2025-10-27 11:23:01,049 - src.strategies.ict_strategy - DEBUG - XRPUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T11:23:01.364002956Z [inf]  2025-10-27 11:23:01,058 - src.strategies.ict_strategy - DEBUG - DOGEUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T11:23:01.364008928Z [inf]  2025-10-27 11:23:01,066 - src.strategies.ict_strategy - DEBUG - ✅ BTCUSDT LONG | 信心度: 36.7% | 趨勢: bullish/bullish/bearish
2025-10-27T11:23:01.364014479Z [inf]  2025-10-27 11:23:01,078 - src.strategies.ict_strategy - DEBUG - ZECUSDT: 拒絕 - 信心度不足 (23.3% < 35.0%)
2025-10-27T11:23:01.364021087Z [inf]  2025-10-27 11:23:01,094 - src.strategies.ict_strategy - DEBUG - ✅ BNBUSDT LONG | 信心度: 46.7% | 趨勢: bullish/bullish/bullish
2025-10-27T11:23:01.364026448Z [inf]  2025-10-27 11:23:01,118 - src.strategies.ict_strategy - DEBUG - XRPUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T11:23:01.364031376Z [inf]  2025-10-27 11:23:01,123 - src.strategies.ict_strategy - DEBUG - DOGEUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T11:23:01.364036496Z [inf]  2025-10-27 11:23:01,125 - src.strategies.ict_strategy - DEBUG - MAVIAUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-27T11:23:01.364042220Z [inf]  2025-10-27 11:23:01,127 - src.strategies.ict_strategy - DEBUG - GIGGLEUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T11:23:01.364047570Z [inf]  2025-10-27 11:23:01,129 - src.strategies.ict_strategy - DEBUG - HYPEUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T11:23:01.364052660Z [inf]  2025-10-27 11:23:01,132 - src.strategies.ict_strategy - DEBUG - ASTERUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T11:23:01.367516652Z [inf]  2025-10-27 11:23:01,133 - src.strategies.ict_strategy - DEBUG - VIRTUALUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-27T11:23:01.367526374Z [inf]  2025-10-27 11:23:01,136 - src.strategies.ict_strategy - DEBUG - COAIUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T11:23:01.367533303Z [inf]  2025-10-27 11:23:01,137 - src.strategies.ict_strategy - DEBUG - SUIUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T11:23:01.367545497Z [inf]  2025-10-27 11:23:01,139 - src.strategies.ict_strategy - DEBUG - ENAUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-27T11:23:01.367552084Z [inf]  2025-10-27 11:23:01,143 - src.strategies.ict_strategy - DEBUG - EVAAUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-27T11:23:01.367565346Z [inf]  2025-10-27 11:23:01,165 - src.strategies.ict_strategy - DEBUG - 1000PEPEUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T11:23:01.367571068Z [inf]  2025-10-27 11:23:01,166 - src.strategies.ict_strategy - DEBUG - PUMPUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T11:23:01.417233332Z [inf]  2025-10-27 11:23:01,189 - src.strategies.ict_strategy - DEBUG - GIGGLEUSDT: 拒絕 - 信心度不足 (33.3% < 35.0%)
2025-10-27T11:23:01.427500304Z [inf]  2025-10-27 11:23:01,191 - src.strategies.ict_strategy - DEBUG - ✅ MAVIAUSDT LONG | 信心度: 46.7% | 趨勢: bullish/bullish/bullish
2025-10-27T11:23:01.427510551Z [inf]  2025-10-27 11:23:01,201 - src.strategies.ict_strategy - DEBUG - LINKUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T11:23:01.433111749Z [inf]  2025-10-27 11:23:01,202 - src.strategies.ict_strategy - DEBUG - HYPEUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:neutral)
2025-10-27T11:23:01.435897465Z [inf]  2025-10-27 11:23:01,204 - src.strategies.ict_strategy - DEBUG - TAOUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T11:23:01.455730704Z [inf]  2025-10-27 11:23:01,206 - src.strategies.ict_strategy - DEBUG - AVAXUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T11:23:01.474334644Z [inf]  2025-10-27 11:23:01,207 - src.strategies.ict_strategy - DEBUG - AIXBTUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-27T11:23:01.484951003Z [inf]  2025-10-27 11:23:01,222 - src.strategies.ict_strategy - DEBUG - ADAUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T11:23:01.517029148Z [inf]  2025-10-27 11:23:01,229 - src.strategies.ict_strategy - DEBUG - DIAUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-27T11:23:01.534063889Z [inf]  2025-10-27 11:23:01,242 - src.strategies.ict_strategy - DEBUG - HUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-27T11:23:01.559636001Z [inf]  2025-10-27 11:23:01,272 - src.strategies.ict_strategy - DEBUG - ENAUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-27T11:23:01.593952488Z [inf]  2025-10-27 11:23:01,286 - src.strategies.ict_strategy - DEBUG - BCHUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bullish
2025-10-27T11:23:01.603079809Z [inf]  2025-10-27 11:23:01,287 - src.strategies.ict_strategy - DEBUG - VIRTUALUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-27T11:23:01.603090372Z [inf]  2025-10-27 11:23:01,331 - src.strategies.ict_strategy - DEBUG - 1000PEPEUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T11:23:01.605888637Z [inf]  2025-10-27 11:23:01,368 - src.strategies.ict_strategy - DEBUG - XPLUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T11:23:01.617943125Z [inf]  2025-10-27 11:23:01,373 - src.strategies.ict_strategy - DEBUG - SUIUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T11:23:01.621519718Z [inf]  2025-10-27 11:23:01,384 - src.strategies.ict_strategy - DEBUG - ✅ COAIUSDT SHORT | 信心度: 70.0% | 趨勢: bearish/bearish/bearish
