2025-10-26T07:18:53.393653954Z [inf]  2025-10-26 07:18:52,843 - src.strategies.ict_strategy - DEBUG - COOKIEUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T07:18:53.393665674Z [inf]  2025-10-26 07:18:52,854 - src.strategies.ict_strategy - DEBUG - SWARMSUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T07:18:53.393668408Z [inf]  2025-10-26 07:18:52,861 - src.strategies.ict_strategy - DEBUG - SPKUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T07:18:53.393675675Z [inf]  2025-10-26 07:18:52,855 - src.strategies.ict_strategy - DEBUG - SOMIUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bullish
2025-10-26T07:18:53.393678940Z [inf]  2025-10-26 07:18:52,862 - src.strategies.ict_strategy - DEBUG - FORMUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-26T07:18:53.393683072Z [inf]  2025-10-26 07:18:52,857 - src.strategies.ict_strategy - DEBUG - LYNUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T07:18:53.393689091Z [inf]  2025-10-26 07:18:52,874 - src.strategies.ict_strategy - DEBUG - FORTHUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-26T07:18:53.393694678Z [inf]  2025-10-26 07:18:52,859 - src.strategies.ict_strategy - DEBUG - BIDUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T07:18:53.393702370Z [inf]  2025-10-26 07:18:52,875 - src.strategies.ict_strategy - DEBUG - GRIFFAINUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T07:18:53.393703104Z [inf]  2025-10-26 07:18:52,860 - src.strategies.ict_strategy - DEBUG - XNYUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-26T07:18:53.393711250Z [inf]  2025-10-26 07:18:52,877 - src.strategies.ict_strategy - DEBUG - POPCATUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bullish
2025-10-26T07:18:53.393727943Z [inf]  2025-10-26 07:18:52,842 - src.strategies.ict_strategy - DEBUG - NEIROUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bullish
2025-10-26T07:18:53.395232516Z [inf]  2025-10-26 07:18:52,892 - src.strategies.ict_strategy - DEBUG - EDUUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T07:18:53.395239580Z [inf]  2025-10-26 07:18:52,895 - src.strategies.ict_strategy - DEBUG - WALUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bearish, 5m:bearish, structure:bullish)
2025-10-26T07:18:53.395252175Z [inf]  2025-10-26 07:18:52,915 - src.strategies.ict_strategy - DEBUG - ARCUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T07:18:53.395252318Z [inf]  2025-10-26 07:18:52,900 - src.strategies.ict_strategy - DEBUG - BELUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bullish
2025-10-26T07:18:53.395252512Z [inf]  2025-10-26 07:18:52,897 - src.strategies.ict_strategy - DEBUG - PORT3USDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:neutral)
2025-10-26T07:18:53.395264814Z [inf]  2025-10-26 07:18:52,901 - src.strategies.ict_strategy - DEBUG - RENDERUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T07:18:53.395266735Z [inf]  2025-10-26 07:18:52,898 - src.strategies.ict_strategy - DEBUG - TREEUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T07:18:53.395272269Z [inf]  2025-10-26 07:18:52,902 - src.strategies.ict_strategy - DEBUG - PNUTUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bullish
2025-10-26T07:18:53.395275709Z [inf]  2025-10-26 07:18:52,899 - src.strategies.ict_strategy - DEBUG - OMUSDT: 趨勢檢測 - 1h:bearish, 15m:bullish, 5m:bullish
2025-10-26T07:18:53.395279457Z [inf]  2025-10-26 07:18:52,903 - src.strategies.ict_strategy - DEBUG - SOPHUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-26T07:18:53.409236720Z [inf]  2025-10-26 07:18:52,918 - src.strategies.ict_strategy - DEBUG - AUCTIONUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T07:18:53.409244255Z [inf]  2025-10-26 07:18:52,918 - src.strategies.ict_strategy - DEBUG - EPTUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T07:18:53.420552727Z [inf]  2025-10-26 07:18:52,930 - src.strategies.ict_strategy - DEBUG - ZEREBROUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T07:18:53.430951355Z [inf]  2025-10-26 07:18:52,932 - src.strategies.ict_strategy - DEBUG - MYXUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bullish
2025-10-26T07:18:53.439958515Z [inf]  2025-10-26 07:18:52,935 - src.strategies.ict_strategy - DEBUG - LAUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T07:18:53.453358332Z [inf]  2025-10-26 07:18:52,936 - src.strategies.ict_strategy - DEBUG - ACTUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-26T07:18:53.463837399Z [inf]  2025-10-26 07:18:53,116 - src.strategies.ict_strategy - DEBUG - DYDXUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T07:18:53.483952968Z [inf]  2025-10-26 07:18:53,129 - src.strategies.ict_strategy - DEBUG - BERAUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bullish, 5m:bullish, structure:bullish)
2025-10-26T07:18:53.486085186Z [inf]  2025-10-26 07:18:53,132 - src.strategies.ict_strategy - DEBUG - NEIROUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T07:18:53.486098205Z [inf]  2025-10-26 07:18:53,133 - src.strategies.ict_strategy - DEBUG - NAORISUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-26T07:18:53.509204217Z [inf]  2025-10-26 07:18:53,143 - src.strategies.ict_strategy - DEBUG - TRUTHUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T07:18:53.533080719Z [inf]  2025-10-26 07:18:53,149 - src.strategies.ict_strategy - DEBUG - COOKIEUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-26T07:18:53.547046307Z [inf]  2025-10-26 07:18:53,162 - src.strategies.ict_strategy - DEBUG - SWARMSUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-26T07:18:53.549567960Z [inf]  2025-10-26 07:18:53,173 - src.strategies.ict_strategy - DEBUG - SOMIUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T07:18:53.549580926Z [inf]  2025-10-26 07:18:53,175 - src.strategies.ict_strategy - DEBUG - API3USDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bullish
2025-10-26T07:18:53.561732317Z [inf]  2025-10-26 07:18:53,203 - src.strategies.ict_strategy - DEBUG - XNYUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-26T07:18:53.561741987Z [inf]  2025-10-26 07:18:53,208 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: BIDUSDT LONG 信心度 56.00%
2025-10-26T07:18:53.572941185Z [inf]  2025-10-26 07:18:53,234 - src.strategies.ict_strategy - DEBUG - FORMUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bearish, 5m:bearish, structure:bullish)
2025-10-26T07:18:53.572948585Z [inf]  2025-10-26 07:18:53,275 - src.strategies.ict_strategy - DEBUG - FORTHUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-26T07:18:53.574713886Z [inf]  2025-10-26 07:18:53,236 - src.strategies.ict_strategy - DEBUG - SPKUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bullish)
2025-10-26T07:18:53.574719400Z [inf]  2025-10-26 07:18:53,278 - src.strategies.ict_strategy - DEBUG - POPCATUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T07:18:53.578264022Z [inf]  2025-10-26 07:18:53,288 - src.strategies.ict_strategy - DEBUG - DEGENUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T07:18:53.580055671Z [inf]  2025-10-26 07:18:53,288 - src.strategies.ict_strategy - DEBUG - MLNUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-26T07:18:53.612719475Z [inf]  2025-10-26 07:18:53,292 - src.strategies.ict_strategy - DEBUG - GRIFFAINUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:neutral)
2025-10-26T07:18:53.614847331Z [inf]  2025-10-26 07:18:53,306 - src.strategies.ict_strategy - DEBUG - TREEUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:neutral)
2025-10-26T07:18:53.615415936Z [inf]  2025-10-26 07:18:53,308 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: EDUUSDT LONG 信心度 56.00%
2025-10-26T07:18:53.615471024Z [inf]  2025-10-26 07:18:53,319 - src.strategies.ict_strategy - DEBUG - OMUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bullish, 5m:bullish, structure:bullish)
2025-10-26T07:18:53.618039467Z [inf]  2025-10-26 07:18:53,344 - src.strategies.ict_strategy - DEBUG - BELUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T07:18:53.618049321Z [inf]  2025-10-26 07:18:53,373 - src.strategies.ict_strategy - DEBUG - PNUTUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T07:18:53.620153235Z [inf]  2025-10-26 07:18:53,396 - src.strategies.ict_strategy - DEBUG - SOPHUSDT: 拒絕 - 信心度不足 (20.0% < 45.0%)
2025-10-26T07:18:53.620161513Z [inf]  2025-10-26 07:18:53,401 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: RENDERUSDT LONG 信心度 66.00%
2025-10-26T07:18:53.623760004Z [inf]  2025-10-26 07:18:53,404 - src.strategies.ict_strategy - DEBUG - ARCUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:neutral)
2025-10-26T07:18:53.626517758Z [inf]  2025-10-26 07:18:53,405 - src.strategies.ict_strategy - DEBUG - KASUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-26T07:18:53.639912642Z [inf]  2025-10-26 07:18:53,417 - src.strategies.ict_strategy - DEBUG - EPTUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-26T07:18:53.647186128Z [inf]  2025-10-26 07:18:53,444 - src.strategies.ict_strategy - DEBUG - MYXUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T07:18:53.648990833Z [inf]  2025-10-26 07:18:53,449 - src.strategies.ict_strategy - DEBUG - MOODENGUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bullish
2025-10-26T07:18:53.665649183Z [inf]  2025-10-26 07:18:53,450 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: ZEREBROUSDT LONG 信心度 66.00%
2025-10-26T07:18:53.667117047Z [inf]  2025-10-26 07:18:53,473 - src.strategies.ict_strategy - DEBUG - ACTUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-26T07:18:53.667124398Z [inf]  2025-10-26 07:18:53,479 - src.strategies.ict_strategy - DEBUG - CELOUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T07:18:53.688100180Z [inf]  2025-10-26 07:18:53,485 - src.strategies.ict_strategy - DEBUG - PHBUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T07:18:53.701832784Z [inf]  2025-10-26 07:18:53,513 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: DYDXUSDT LONG 信心度 70.00%
2025-10-26T07:18:53.711824734Z [inf]  2025-10-26 07:18:53,529 - src.strategies.ict_strategy - DEBUG - NAORISUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-26T07:18:53.712625628Z [inf]  2025-10-26 07:18:53,535 - src.strategies.ict_strategy - DEBUG - TRBUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T07:18:53.728588885Z [inf]  2025-10-26 07:18:53,543 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: TRUTHUSDT LONG 信心度 56.00%
2025-10-26T07:18:53.731050728Z [inf]  2025-10-26 07:18:53,545 - src.strategies.ict_strategy - DEBUG - ICPUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T07:18:53.746335447Z [inf]  2025-10-26 07:18:53,557 - src.strategies.ict_strategy - DEBUG - AVAAIUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-26T07:18:53.759285519Z [inf]  2025-10-26 07:18:53,559 - src.strategies.ict_strategy - DEBUG - JTOUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-26T07:18:53.774853431Z [inf]  2025-10-26 07:18:53,559 - src.strategies.ict_strategy - DEBUG - ORDIUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bullish
2025-10-26T07:18:53.790127536Z [inf]  2025-10-26 07:18:53,568 - src.strategies.ict_strategy - DEBUG - API3USDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:bullish)
2025-10-26T07:18:53.790136062Z [inf]  2025-10-26 07:18:53,569 - src.strategies.ict_strategy - DEBUG - BARDUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T07:18:53.799311875Z [inf]  2025-10-26 07:18:53,571 - src.strategies.ict_strategy - DEBUG - WUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T07:18:53.806728333Z [inf]  2025-10-26 07:18:53,572 - src.strategies.ict_strategy - DEBUG - XVGUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T07:18:53.845795758Z [inf]  2025-10-26 07:18:53,573 - src.strategies.ict_strategy - DEBUG - STRKUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bullish
2025-10-26T07:18:53.857946667Z [inf]  2025-10-26 07:18:53,596 - src.strategies.ict_strategy - DEBUG - DEGENUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:neutral)
2025-10-26T07:18:53.865995402Z [inf]  2025-10-26 07:18:53,608 - src.strategies.ict_strategy - DEBUG - MLNUSDT: 拒絕 - 信心度不足 (30.0% < 45.0%)
2025-10-26T07:18:53.866006660Z [inf]  2025-10-26 07:18:53,609 - src.strategies.ict_strategy - DEBUG - ARUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bullish
2025-10-26T07:18:53.876860530Z [inf]  2025-10-26 07:18:53,611 - src.strategies.ict_strategy - DEBUG - ZROUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bullish
2025-10-26T07:18:53.885778557Z [inf]  2025-10-26 07:18:53,612 - src.strategies.ict_strategy - DEBUG - ALGOUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bullish
