2025-10-26T09:47:43.358769021Z [inf]  2025-10-26 09:47:33,931 - src.strategies.ict_strategy - DEBUG - FUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T09:47:43.358775063Z [inf]  2025-10-26 09:47:33,932 - src.strategies.ict_strategy - DEBUG - YBUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-26T09:47:43.358781129Z [inf]  2025-10-26 09:47:33,943 - src.strategies.ict_strategy - DEBUG - COAIUSDT: 拒絕 - 信心度不足 (20.0% < 45.0%)
2025-10-26T09:47:43.358788785Z [inf]  2025-10-26 09:47:33,944 - src.strategies.ict_strategy - DEBUG - LINKUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.358795610Z [inf]  2025-10-26 09:47:33,959 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: ZECUSDT LONG 信心度 70.00%
2025-10-26T09:47:43.358801846Z [inf]  2025-10-26 09:47:33,960 - src.strategies.ict_strategy - DEBUG - XPLUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.358807864Z [inf]  2025-10-26 09:47:33,972 - src.strategies.ict_strategy - DEBUG - ADAUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.358813725Z [inf]  2025-10-26 09:47:33,973 - src.strategies.ict_strategy - DEBUG - TAOUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.358819928Z [inf]  2025-10-26 09:47:33,974 - src.strategies.ict_strategy - DEBUG - BCHUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.358826136Z [inf]  2025-10-26 09:47:33,990 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: HYPEUSDT LONG 信心度 66.00%
2025-10-26T09:47:43.360035333Z [inf]  2025-10-26 09:47:33,995 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: BNBUSDT LONG 信心度 70.00%
2025-10-26T09:47:43.360037315Z [inf]  2025-10-26 09:47:34,135 - src.strategies.ict_strategy - DEBUG - BLUAIUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-26T09:47:43.360044500Z [inf]  2025-10-26 09:47:34,021 - src.strategies.ict_strategy - DEBUG - PIPPINUSDT: 拒絕 - 信心度不足 (29.3% < 45.0%)
2025-10-26T09:47:43.360048094Z [inf]  2025-10-26 09:47:34,147 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: AIXBTUSDT LONG 信心度 66.00%
2025-10-26T09:47:43.360052141Z [inf]  2025-10-26 09:47:34,087 - src.strategies.ict_strategy - DEBUG - EVAAUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:neutral)
2025-10-26T09:47:43.360057223Z [inf]  2025-10-26 09:47:34,151 - src.strategies.ict_strategy - DEBUG - EDENUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bullish, structure:neutral)
2025-10-26T09:47:43.360074109Z [inf]  2025-10-26 09:47:34,088 - src.strategies.ict_strategy - DEBUG - TURTLEUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-26T09:47:43.360082376Z [inf]  2025-10-26 09:47:34,176 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: SUIUSDT LONG 信心度 66.00%
2025-10-26T09:47:43.360083587Z [inf]  2025-10-26 09:47:34,091 - src.strategies.ict_strategy - DEBUG - AVNTUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-26T09:47:43.360090660Z [inf]  2025-10-26 09:47:34,106 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: ASTERUSDT LONG 信心度 70.00%
2025-10-26T09:47:43.360097419Z [inf]  2025-10-26 09:47:34,110 - src.strategies.ict_strategy - DEBUG - BLESSUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-26T09:47:43.360103297Z [inf]  2025-10-26 09:47:34,132 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: 4USDT LONG 信心度 70.00%
2025-10-26T09:47:43.361274134Z [inf]  2025-10-26 09:47:34,154 - src.strategies.ict_strategy - DEBUG - WLFIUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.361275880Z [inf]  2025-10-26 09:47:34,228 - src.strategies.ict_strategy - DEBUG - FARTCOINUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.361282199Z [inf]  2025-10-26 09:47:34,152 - src.strategies.ict_strategy - DEBUG - XPINUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.361284073Z [inf]  2025-10-26 09:47:34,233 - src.strategies.ict_strategy - DEBUG - KGENUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T09:47:43.361290210Z [inf]  2025-10-26 09:47:34,234 - src.strategies.ict_strategy - DEBUG - KAITOUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bullish
2025-10-26T09:47:43.361290574Z [inf]  2025-10-26 09:47:34,201 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: PUMPUSDT LONG 信心度 60.00%
2025-10-26T09:47:43.361296565Z [inf]  2025-10-26 09:47:34,236 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: 1000PEPEUSDT LONG 信心度 66.00%
2025-10-26T09:47:43.361298072Z [inf]  2025-10-26 09:47:34,202 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: AVAXUSDT LONG 信心度 66.00%
