2025-10-25T17:52:45.266285692Z [inf]  2025-10-25 17:52:44,937 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.266291416Z [inf]  2025-10-25 17:52:44,936 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.266292537Z [inf]  2025-10-25 17:52:44,937 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.266297950Z [inf]  2025-10-25 17:52:44,937 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.266310294Z [inf]  2025-10-25 17:52:44,936 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.266319828Z [inf]  2025-10-25 17:52:44,936 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.266325043Z [inf]  2025-10-25 17:52:44,936 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.266330457Z [inf]  2025-10-25 17:52:44,936 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.266336537Z [inf]  2025-10-25 17:52:44,936 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.266342737Z [inf]  2025-10-25 17:52:44,936 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.266350985Z [inf]  2025-10-25 17:52:44,936 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.267300571Z [inf]  2025-10-25 17:52:44,938 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.267309028Z [inf]  2025-10-25 17:52:44,938 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.267315329Z [inf]  2025-10-25 17:52:44,938 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.267321477Z [inf]  2025-10-25 17:52:44,938 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.267326351Z [inf]  2025-10-25 17:52:44,937 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
2025-10-25T17:52:45.267332442Z [inf]  2025-10-25 17:52:44,937 - src.services.timeframe_scheduler - DEBUG - 時間框架 15m 需要更新
2025-10-25T17:52:45.267338687Z [inf]  2025-10-25 17:52:44,937 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-25T17:52:45.267344828Z [inf]  2025-10-25 17:52:44,937 - src.services.timeframe_scheduler - DEBUG - 時間框架 1h 需要更新
