2025-10-26T06:34:24.443043827Z [inf]  2025-10-26 06:34:15,411 - src.strategies.ict_strategy - DEBUG - BIOUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T06:34:24.443047568Z [inf]  2025-10-26 06:34:15,412 - src.strategies.ict_strategy - DEBUG - WLDUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.443051186Z [inf]  2025-10-26 06:34:15,414 - src.strategies.ict_strategy - DEBUG - FARTCOINUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.443055387Z [inf]  2025-10-26 06:34:15,433 - src.strategies.ict_strategy - DEBUG - AIAUSDT: 趨勢檢測 - 1h:bearish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.445120959Z [inf]  2025-10-26 06:34:15,436 - src.strategies.ict_strategy - DEBUG - MERLUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.445129174Z [inf]  2025-10-26 06:34:15,463 - src.strategies.ict_strategy - DEBUG - TURTLEUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-26T06:34:24.445139994Z [inf]  2025-10-26 06:34:15,464 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: TAOUSDT LONG 信心度 70.00%
2025-10-26T06:34:24.445146923Z [inf]  2025-10-26 06:34:15,475 - src.strategies.ict_strategy - DEBUG - LTCUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.445153000Z [inf]  2025-10-26 06:34:15,486 - src.strategies.ict_strategy - DEBUG - RIVERUSDT: 趨勢檢測 - 1h:bearish, 15m:bullish, 5m:bearish
2025-10-26T06:34:24.445159676Z [inf]  2025-10-26 06:34:15,493 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: XPINUSDT LONG 信心度 56.00%
2025-10-26T06:34:24.445165410Z [inf]  2025-10-26 06:34:15,495 - src.strategies.ict_strategy - DEBUG - DEGOUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.445171645Z [inf]  2025-10-26 06:34:15,496 - src.strategies.ict_strategy - DEBUG - WIFUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bullish
2025-10-26T06:34:24.445177524Z [inf]  2025-10-26 06:34:15,498 - src.strategies.ict_strategy - DEBUG - BASUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.445183528Z [inf]  2025-10-26 06:34:15,500 - src.strategies.ict_strategy - DEBUG - AAVEUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bullish
2025-10-26T06:34:24.445189496Z [inf]  2025-10-26 06:34:15,501 - src.strategies.ict_strategy - DEBUG - ENSOUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T06:34:24.445196048Z [inf]  2025-10-26 06:34:15,511 - src.strategies.ict_strategy - DEBUG - RECALLUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.445202049Z [inf]  2025-10-26 06:34:15,541 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: BCHUSDT LONG 信心度 56.00%
2025-10-26T06:34:24.446726337Z [inf]  2025-10-26 06:34:15,543 - src.strategies.ict_strategy - DEBUG - NEARUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.446733495Z [inf]  2025-10-26 06:34:15,545 - src.strategies.ict_strategy - DEBUG - XANUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T06:34:24.446739997Z [inf]  2025-10-26 06:34:15,547 - src.strategies.ict_strategy - DEBUG - UNIUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bullish
2025-10-26T06:34:24.446744230Z [inf]  2025-10-26 06:34:15,547 - src.strategies.ict_strategy - DEBUG - JUPUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T06:34:24.446748828Z [inf]  2025-10-26 06:34:15,569 - src.strategies.ict_strategy - DEBUG - UBUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-26T06:34:24.446753809Z [inf]  2025-10-26 06:34:15,571 - src.strategies.ict_strategy - DEBUG - EIGENUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bullish
2025-10-26T06:34:24.446757668Z [inf]  2025-10-26 06:34:15,572 - src.strategies.ict_strategy - DEBUG - XLMUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bullish
2025-10-26T06:34:24.446761631Z [inf]  2025-10-26 06:34:15,592 - src.strategies.ict_strategy - DEBUG - KAITOUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-26T06:34:24.446766504Z [inf]  2025-10-26 06:34:15,592 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: KGENUSDT LONG 信心度 70.00%
2025-10-26T06:34:24.446770275Z [inf]  2025-10-26 06:34:15,609 - src.strategies.ict_strategy - DEBUG - TRXUSDT: 拒絕 - 信心度不足 (33.3% < 45.0%)
2025-10-26T06:34:24.446774072Z [inf]  2025-10-26 06:34:15,659 - src.strategies.ict_strategy - DEBUG - ZKCUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-26T06:34:24.446779133Z [inf]  2025-10-26 06:34:15,663 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: WLFIUSDT LONG 信心度 52.67%
2025-10-26T06:34:24.449078015Z [inf]  2025-10-26 06:34:15,901 - src.strategies.ict_strategy - DEBUG - ENSOUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-26T06:34:24.449098593Z [inf]  2025-10-26 06:34:15,666 - src.strategies.ict_strategy - DEBUG - BIOUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-26T06:34:24.449105248Z [inf]  2025-10-26 06:34:15,670 - src.strategies.ict_strategy - DEBUG - PENGUUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bullish)
