2025-10-27T09:33:35.284794946Z [inf]  2025-10-27 09:33:35,092 - src.services.data_service - DEBUG - ✅ 緩存命中: BERAUSDT 5m
2025-10-27T09:33:35.284799868Z [inf]  2025-10-27 09:33:35,092 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.284805187Z [inf]  2025-10-27 09:33:35,092 - src.services.data_service - DEBUG - ✅ 緩存命中: ORDERUSDT 5m
2025-10-27T09:33:35.284810095Z [inf]  2025-10-27 09:33:35,092 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.284814847Z [inf]  2025-10-27 09:33:35,092 - src.services.data_service - DEBUG - ✅ 緩存命中: ZEREBROUSDT 5m
2025-10-27T09:33:35.284820602Z [inf]  2025-10-27 09:33:35,092 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.284826388Z [inf]  2025-10-27 09:33:35,092 - src.services.data_service - DEBUG - ✅ 緩存命中: RUNEUSDT 5m
2025-10-27T09:33:35.288085081Z [inf]  2025-10-27 09:33:35,092 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.288092862Z [inf]  2025-10-27 09:33:35,092 - src.services.data_service - DEBUG - ✅ 緩存命中: AEROUSDT 5m
2025-10-27T09:33:35.288099076Z [inf]  2025-10-27 09:33:35,092 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.288105938Z [inf]  2025-10-27 09:33:35,092 - src.services.data_service - DEBUG - ✅ 緩存命中: BATUSDT 5m
2025-10-27T09:33:35.288112942Z [inf]  2025-10-27 09:33:35,092 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T09:33:35.288119839Z [inf]  2025-10-27 09:33:35,092 - src.services.data_service - DEBUG - ✅ 緩存命中: ATHUSDT 5m
2025-10-27T09:33:35.288127730Z [inf]  2025-10-27 09:33:35,093 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
