2025-10-26T08:31:17.275946741Z [inf]  2025-10-26 08:31:09,918 - src.strategies.ict_strategy - DEBUG - ATOMUSDT: 趨勢檢測 - 1h:bearish, 15m:bullish, 5m:bullish
2025-10-26T08:31:17.275951871Z [inf]  2025-10-26 08:31:09,956 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: SEIUSDT LONG 信心度 70.00%
2025-10-26T08:31:17.277174871Z [inf]  2025-10-26 08:31:09,975 - src.strategies.ict_strategy - DEBUG - BANKUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bullish, 5m:bullish, structure:bullish)
2025-10-26T08:31:17.277181603Z [inf]  2025-10-26 08:31:10,018 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: LDOUSDT LONG 信心度 70.00%
2025-10-26T08:31:17.277187091Z [inf]  2025-10-26 08:31:10,027 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: ATHUSDT LONG 信心度 66.00%
2025-10-26T08:31:17.277191723Z [inf]  2025-10-26 08:31:10,041 - src.strategies.ict_strategy - DEBUG - LINEAUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bullish, 5m:bullish, structure:bullish)
2025-10-26T08:31:17.277197254Z [inf]  2025-10-26 08:31:10,075 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: 0GUSDT SHORT 信心度 46.67%
2025-10-26T08:31:17.278834226Z [inf]  2025-10-26 08:31:10,241 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: INJUSDT LONG 信心度 66.00%
2025-10-26T08:31:17.280548629Z [inf]  2025-10-26 08:31:10,340 - src.services.data_service - DEBUG - 緩存命中: LYNUSDT 5m
2025-10-26T08:31:17.281860153Z [inf]  2025-10-26 08:31:10,341 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:31:17.284305255Z [inf]  2025-10-26 08:31:10,342 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T08:31:17.286040464Z [inf]  2025-10-26 08:31:10,343 - src.services.data_service - DEBUG - 緩存命中: ZEREBROUSDT 5m
2025-10-26T08:31:17.288712332Z [inf]  2025-10-26 08:31:10,344 - src.services.data_service - DEBUG - 緩存命中: MOODENGUSDT 5m
2025-10-26T08:31:17.290172991Z [inf]  2025-10-26 08:31:10,345 - src.services.data_service - DEBUG - 緩存命中: OGUSDT 5m
2025-10-26T08:31:17.291611404Z [inf]  2025-10-26 08:31:10,345 - src.services.data_service - DEBUG - 緩存命中: NXPCUSDT 5m
2025-10-26T08:31:17.294548885Z [inf]  2025-10-26 08:31:10,478 - src.strategies.ict_strategy - DEBUG - QUSDT: 趨勢檢測 - 1h:bearish, 15m:bullish, 5m:bullish
2025-10-26T08:31:17.296400468Z [inf]  2025-10-26 08:31:10,550 - src.strategies.ict_strategy - DEBUG - AIOUSDT: 拒絕 - 信心度不足 (29.3% < 45.0%)
2025-10-26T08:31:17.298810141Z [inf]  2025-10-26 08:31:10,650 - src.strategies.ict_strategy - DEBUG - MYXUSDT: 趨勢檢測 - 1h:bearish, 15m:bullish, 5m:bullish
2025-10-26T08:31:17.301022630Z [inf]  2025-10-26 08:31:10,968 - src.strategies.ict_strategy - INFO - ✅ 生成交易信號: DYDXUSDT LONG 信心度 66.00%
2025-10-26T08:31:17.302435013Z [inf]  2025-10-26 08:31:11,072 - src.strategies.ict_strategy - DEBUG - ICPUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-26T08:31:17.304119040Z [inf]  2025-10-26 08:31:11,116 - src.strategies.ict_strategy - DEBUG - ARUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bullish
2025-10-26T08:31:17.307014393Z [inf]  2025-10-26 08:31:11,555 - src.strategies.ict_strategy - DEBUG - ARUSDT: 拒絕 - 趨勢不對齊 (1h:bearish, 15m:bearish, 5m:bullish, structure:bullish)
