2025-10-27T10:04:12.348274546Z [inf]  2025-10-27 10:04:12,333 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-27T10:04:12.348280525Z [inf]  2025-10-27 10:04:12,333 - src.services.data_service - DEBUG - ✅ 緩存命中: API3USDT 5m
2025-10-27T10:04:12.348285519Z [inf]  2025-10-27 10:04:12,337 - src.strategies.ict_strategy - DEBUG - NXPCUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bullish
2025-10-27T10:04:12.354947269Z [inf]  2025-10-27 10:04:12,349 - src.strategies.ict_strategy - DEBUG - HANAUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.382285756Z [inf]  2025-10-27 10:04:12,367 - src.strategies.ict_strategy - DEBUG - STBLUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.397998863Z [inf]  2025-10-27 10:04:12,381 - src.strategies.ict_strategy - DEBUG - ✅ NXPCUSDT LONG | 信心度: 46.7% | 趨勢: bullish/bullish/bullish
2025-10-27T10:04:12.398007139Z [inf]  2025-10-27 10:04:12,393 - src.strategies.ict_strategy - DEBUG - MIRAUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.423331627Z [inf]  2025-10-27 10:04:12,404 - src.strategies.ict_strategy - DEBUG - SOPHUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.463293763Z [inf]  2025-10-27 10:04:12,412 - src.strategies.ict_strategy - DEBUG - SAPIENUSDT: 趨勢檢測 - 1h:bullish, 15m:bullish, 5m:bearish
2025-10-27T10:04:12.473431852Z [inf]  2025-10-27 10:04:12,441 - src.strategies.ict_strategy - DEBUG - 1000XECUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.479984792Z [inf]  2025-10-27 10:04:12,452 - src.strategies.ict_strategy - DEBUG - ✅ STBLUSDT SHORT | 信心度: 66.0% | 趨勢: bearish/bearish/bearish
2025-10-27T10:04:12.505476650Z [inf]  2025-10-27 10:04:12,454 - src.strategies.ict_strategy - DEBUG - LABUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.551994703Z [inf]  2025-10-27 10:04:12,460 - src.strategies.ict_strategy - DEBUG - XVGUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.570208958Z [inf]  2025-10-27 10:04:12,481 - src.strategies.ict_strategy - DEBUG - PNUTUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.934224588Z [inf]  2025-10-27 10:04:12,486 - src.strategies.ict_strategy - DEBUG - SAPIENUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bullish, 5m:bearish, structure:bearish)
2025-10-27T10:04:12.934228905Z [inf]  2025-10-27 10:04:12,492 - src.strategies.ict_strategy - DEBUG - SOPHUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T10:04:12.934234456Z [inf]  2025-10-27 10:04:12,497 - src.strategies.ict_strategy - DEBUG - 1000XECUSDT: 拒絕 - 趨勢不對齊 (1h:bullish, 15m:bearish, 5m:bearish, structure:bearish)
2025-10-27T10:04:12.934239741Z [inf]  2025-10-27 10:04:12,498 - src.strategies.ict_strategy - DEBUG - ✅ HANAUSDT SHORT | 信心度: 66.0% | 趨勢: bearish/bearish/bearish
2025-10-27T10:04:12.934243844Z [inf]  2025-10-27 10:04:12,499 - src.strategies.ict_strategy - DEBUG - CELOUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.934247626Z [inf]  2025-10-27 10:04:12,501 - src.strategies.ict_strategy - DEBUG - DYDXUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.934251776Z [inf]  2025-10-27 10:04:12,502 - src.strategies.ict_strategy - DEBUG - ICPUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.934256917Z [inf]  2025-10-27 10:04:12,503 - src.strategies.ict_strategy - DEBUG - WALUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.934261807Z [inf]  2025-10-27 10:04:12,508 - src.strategies.ict_strategy - DEBUG - ✅ MIRAUSDT SHORT | 信心度: 60.0% | 趨勢: bearish/bearish/bearish
2025-10-27T10:04:12.934266080Z [inf]  2025-10-27 10:04:12,519 - src.strategies.ict_strategy - DEBUG - TRBUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.934270291Z [inf]  2025-10-27 10:04:12,520 - src.strategies.ict_strategy - DEBUG - MYXUSDT: 趨勢檢測 - 1h:bearish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.934276804Z [inf]  2025-10-27 10:04:12,521 - src.strategies.ict_strategy - DEBUG - OMUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.936695671Z [inf]  2025-10-27 10:04:12,535 - src.strategies.ict_strategy - DEBUG - CUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-27T10:04:12.936701956Z [inf]  2025-10-27 10:04:12,549 - src.strategies.ict_strategy - DEBUG - 2ZUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
