2025-10-25T14:43:43.878901333Z [err]  2025-10-25 14:43:43,382 - __main__ - INFO -   1h: 間隔=3600秒, 上次掃描=從未掃描, 下次掃描=立即, 需掃描=是
2025-10-25T14:43:43.878909041Z [err]  2025-10-25 14:43:43,382 - __main__ - INFO -   15m: 間隔=900秒, 上次掃描=從未掃描, 下次掃描=立即, 需掃描=是
2025-10-25T14:43:43.878916167Z [err]  2025-10-25 14:43:43,382 - __main__ - INFO -   5m: 間隔=60秒, 上次掃描=從未掃描, 下次掃描=立即, 需掃描=是
2025-10-25T14:43:43.884766695Z [err]  2025-10-25 14:43:43,382 - __main__ - INFO - 🔍 開始掃描市場，目標選擇前 200 個高波動率交易對...
2025-10-25T14:43:43.884776670Z [err]  2025-10-25 14:43:43,382 - src.services.data_service - INFO - 開始掃描 526 個交易對（波動率排序）...
2025-10-25T14:43:43.884784353Z [err]  2025-10-25 14:43:43,474 - src.services.data_service - INFO - ✅ 市場掃描完成: 從 526 個交易對中選擇 波動率最高的前 200 個 (平均波動率: 8.42%)
2025-10-25T14:43:43.884790399Z [err]  2025-10-25 14:43:43,474 - __main__ - INFO - 📊 ✅ 已選擇 200 個高波動率交易對 (平均波動率: 8.42%)
2025-10-25T14:43:43.884797758Z [err]  2025-10-25 14:43:43,474 - __main__ - INFO - 📈 波動率最高的前10個交易對:
2025-10-25T14:43:43.884805274Z [err]  2025-10-25 14:43:43,474 - __main__ - INFO -   #1 GIGGLEUSDT: 216.1800 USDT (24h波動: 136.55%)
2025-10-25T14:43:43.884811594Z [err]  2025-10-25 14:43:43,474 - __main__ - INFO -   #2 COAIUSDT: 7.9550 USDT (24h波動: 52.80%)
2025-10-25T14:43:43.884817539Z [err]  2025-10-25 14:43:43,474 - __main__ - INFO -   #3 VIRTUALUSDT: 1.3529 USDT (24h波動: 49.66%)
2025-10-25T14:43:43.884826007Z [err]  2025-10-25 14:43:43,474 - __main__ - INFO -   #4 HUSDT: 0.3315 USDT (24h波動: 42.65%)
2025-10-25T14:43:43.884833371Z [err]  2025-10-25 14:43:43,474 - __main__ - INFO -   #5 APRUSDT: 0.3779 USDT (24h波動: 36.96%)
2025-10-25T14:43:43.884840637Z [err]  2025-10-25 14:43:43,474 - __main__ - INFO -   #6 EDENUSDT: 0.2105 USDT (24h波動: 35.02%)
2025-10-25T14:43:43.884846986Z [err]  2025-10-25 14:43:43,474 - __main__ - INFO -   #7 BLESSUSDT: 0.0610 USDT (24h波動: 32.82%)
2025-10-25T14:43:43.884853135Z [err]  2025-10-25 14:43:43,474 - __main__ - INFO -   #8 QUSDT: 0.0253 USDT (24h波動: 31.33%)
2025-10-25T14:43:43.884859175Z [err]  2025-10-25 14:43:43,474 - __main__ - INFO -   #9 PUMPBTCUSDT: 0.0585 USDT (24h波動: 25.58%)
2025-10-25T14:43:43.884865429Z [err]  2025-10-25 14:43:43,475 - __main__ - INFO -   #10 DOODUSDT: 0.0081 USDT (24h波動: 25.58%)
2025-10-25T14:43:43.889335699Z [err]  2025-10-25 14:43:43,475 - __main__ - INFO - 🔍 使用 32 核心並行分析 200 個高波動率交易對 (已按波動率排序)...
2025-10-25T14:43:43.889342329Z [err]  2025-10-25 14:43:43,475 - src.services.parallel_analyzer - INFO - 開始批量分析 200 個交易對
2025-10-25T14:43:43.889351576Z [err]  2025-10-25 14:43:43,475 - src.services.parallel_analyzer - INFO - 批次配置: 64 個/批次, 共 4 批次
2025-10-25T14:43:43.889356604Z [err]  2025-10-25 14:43:43,475 - src.services.parallel_analyzer - INFO - 處理批次 1/4 (64 個交易對)
2025-10-25T14:43:43.889360897Z [err]  2025-10-25 14:43:43,475 - src.services.data_service - ERROR - 獲取 K線數據失敗 GIGGLEUSDT 1h: BinanceClient.get_klines() got an unexpected keyword argument 'start_time'
2025-10-25T14:43:43.889366038Z [err]  2025-10-25 14:43:43,476 - src.services.data_service - ERROR - 獲取 K線數據失敗 GIGGLEUSDT 15m: BinanceClient.get_klines() got an unexpected keyword argument 'start_time'
2025-10-25T14:43:43.889369958Z [err]  2025-10-25 14:43:43,476 - src.services.data_service - ERROR - 獲取 K線數據失敗 GIGGLEUSDT 5m: BinanceClient.get_klines() got an unexpected keyword argument 'start_time'
2025-10-25T14:43:43.889374574Z [err]  2025-10-25 14:43:43,477 - src.services.data_service - ERROR - 獲取 K線數據失敗 COAIUSDT 1h: BinanceClient.get_klines() got an unexpected keyword argument 'start_time'
2025-10-25T14:43:43.889378565Z [err]  2025-10-25 14:43:43,477 - src.services.data_service - ERROR - 獲取 K線數據失敗 COAIUSDT 15m: BinanceClient.get_klines() got an unexpected keyword argument 'start_time'
2025-10-25T14:43:43.890280169Z [err]  2025-10-25 14:43:43,477 - src.services.data_service - ERROR - 獲取 K線數據失敗 COAIUSDT 5m: BinanceClient.get_klines() got an unexpected keyword argument 'start_time'
2025-10-25T14:43:43.890292697Z [err]  2025-10-25 14:43:43,477 - src.services.data_service - ERROR - 獲取 K線數據失敗 VIRTUALUSDT 1h: BinanceClient.get_klines() got an unexpected keyword argument 'start_time'
2025-10-25T14:43:43.896800693Z [err]  2025-10-25 14:43:43,478 - src.services.data_service - ERROR - 獲取 K線數據失敗 VIRTUALUSDT 15m: BinanceClient.get_klines() got an unexpected keyword argument 'start_time'
