2025-11-24T05:13:32.862135107Z [err]  2025-11-24 05:12:31,966 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.864306063Z [err]  2025-11-24 05:12:31,966 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.869445026Z [err]  2025-11-24 05:12:31,967 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.869455825Z [err]  2025-11-24 05:12:31,967 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.869463861Z [err]  2025-11-24 05:12:31,967 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.871024181Z [err]  2025-11-24 05:13:11,780 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.875665734Z [err]  2025-11-24 05:12:31,968 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.875671652Z [err]  2025-11-24 05:12:31,968 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.880058570Z [err]  2025-11-24 05:12:31,968 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.880063175Z [err]  2025-11-24 05:12:31,968 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.882679847Z [err]  2025-11-24 05:12:31,969 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.885690067Z [err]  2025-11-24 05:12:31,969 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.886807763Z [err]  2025-11-24 05:12:31,970 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.888295132Z [err]  2025-11-24 05:12:31,970 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.890226768Z [err]  2025-11-24 05:12:31,971 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.891884314Z [err]  2025-11-24 05:12:31,971 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.894115635Z [err]  2025-11-24 05:12:31,972 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.896118510Z [err]  2025-11-24 05:12:31,972 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.900777480Z [err]  2025-11-24 05:12:31,973 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.900785448Z [err]  2025-11-24 05:12:31,973 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.902465313Z [err]  2025-11-24 05:12:31,973 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.906137492Z [err]  2025-11-24 05:12:31,974 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.906154293Z [err]  2025-11-24 05:12:31,974 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.908293540Z [err]  2025-11-24 05:12:31,975 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.910296484Z [err]  2025-11-24 05:12:31,975 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.913398385Z [err]  2025-11-24 05:12:31,975 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.913408242Z [err]  2025-11-24 05:12:31,975 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.916668678Z [err]  2025-11-24 05:12:31,976 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.919135529Z [err]  2025-11-24 05:12:31,977 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.919145215Z [err]  2025-11-24 05:13:21,436 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.921121814Z [err]  2025-11-24 05:13:01,828 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.924535106Z [err]  2025-11-24 05:12:31,978 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.927249886Z [err]  2025-11-24 05:12:31,979 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.927263695Z [err]  2025-11-24 05:12:31,979 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.929611088Z [err]  2025-11-24 05:12:31,979 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.931456993Z [err]  2025-11-24 05:12:31,980 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.934303058Z [err]  2025-11-24 05:12:31,980 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.936174923Z [err]  2025-11-24 05:12:31,981 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.938169228Z [err]  2025-11-24 05:12:31,981 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.939625219Z [err]  2025-11-24 05:12:31,982 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.942101669Z [err]  2025-11-24 05:12:31,982 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.944126078Z [err]  2025-11-24 05:12:31,983 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.946071250Z [err]  2025-11-24 05:12:31,983 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.947847091Z [err]  2025-11-24 05:12:31,984 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.949829586Z [err]  2025-11-24 05:12:31,984 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.951810865Z [err]  2025-11-24 05:12:31,985 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.954999965Z [err]  2025-11-24 05:12:31,986 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.955037357Z [err]  2025-11-24 05:13:01,837 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
2025-11-24T05:13:32.958825792Z [err]  2025-11-24 05:12:31,986 - src.feed - ERROR - Error processing message: sent 1011 (internal error) keepalive ping timeout; no close frame received
