2025-10-26T05:23:51.183468593Z [inf]  2025-10-26 05:23:41,313 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T05:23:51.183472646Z [inf]  2025-10-26 05:23:41,313 - src.services.data_service - DEBUG - 緩存命中: LTCUSDT 5m
2025-10-26T05:23:51.184698383Z [inf]  2025-10-26 05:23:41,313 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T05:23:51.184700663Z [inf]  2025-10-26 05:23:41,314 - src.services.data_service - DEBUG - 緩存命中: NEARUSDT 5m
2025-10-26T05:23:51.184703742Z [inf]  2025-10-26 05:23:41,313 - src.services.data_service - DEBUG - 緩存命中: AAVEUSDT 5m
2025-10-26T05:23:51.184710151Z [inf]  2025-10-26 05:23:41,313 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T05:23:51.184710440Z [inf]  2025-10-26 05:23:41,314 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T05:23:51.184716357Z [inf]  2025-10-26 05:23:41,314 - src.services.data_service - DEBUG - 緩存命中: RECALLUSDT 5m
2025-10-26T05:23:51.184718809Z [inf]  2025-10-26 05:23:41,314 - src.services.data_service - DEBUG - 緩存命中: UNIUSDT 5m
2025-10-26T05:23:51.184723714Z [inf]  2025-10-26 05:23:41,314 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T05:23:51.184729643Z [inf]  2025-10-26 05:23:41,314 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T05:23:51.184730610Z [inf]  2025-10-26 05:23:41,314 - src.services.data_service - DEBUG - 緩存命中: BASUSDT 5m
2025-10-26T05:23:51.184735320Z [inf]  2025-10-26 05:23:41,314 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T05:23:51.184741187Z [inf]  2025-10-26 05:23:41,314 - src.services.data_service - DEBUG - 緩存命中: XANUSDT 5m
2025-10-26T05:23:51.184745317Z [inf]  2025-10-26 05:23:41,314 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T05:23:51.184749511Z [inf]  2025-10-26 05:23:41,314 - src.services.data_service - DEBUG - 緩存命中: DEGOUSDT 5m
2025-10-26T05:23:51.184754743Z [inf]  2025-10-26 05:23:41,314 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
2025-10-26T05:23:51.186041876Z [inf]  2025-10-26 05:23:41,360 - src.strategies.ict_strategy - DEBUG - SOLUSDT: 趨勢檢測 - 1h:bullish, 15m:bearish, 5m:bearish
2025-10-26T05:23:51.186045350Z [inf]  2025-10-26 05:23:41,314 - src.services.data_service - DEBUG - 緩存命中: DOODUSDT 5m
2025-10-26T05:23:51.186051931Z [inf]  2025-10-26 05:23:41,314 - src.services.timeframe_scheduler - DEBUG - 時間框架 5m 需要更新
